Make,Model,Model Year,Electric Range,State
BMW,I3,2018,114,WA
BMW,X5,2024,39,WA
LUCID,AIR,2023,0,WA
CHEVROLET,VOLT,2016,53,WA
VOLVO,S60,2021,22,WA
VOLVO,XC90,2022,18,WA
MERCEDES-BENZ,B-CLASS,2016,87,WA
LEXUS,NX,2022,37,WA
MERCEDES-BENZ,GLE-CLASS,2018,8,WA
KIA,NIRO,2018,26,WA
PORSCHE,CAYENNE,2021,16,WA
PORSCHE,CAYENNE,2019,13,WA
CHRYSLER,PACIFICA,2019,32,WA
HYUNDAI,IONIQ,2020,29,WA
VOLVO,XC60,2022,35,WA
TOYOTA,PRIUS PLUG-IN,2015,6,WA
FORD,FOCUS,2015,76,WA
VOLVO,XC90,2023,32,WA
VOLVO,XC60,2022,18,WA
BMW,I3,2019,126,WA
PORSCHE,TAYCAN,2022,0,WA
AUDI,Q4,2023,0,WA
MERCEDES-BENZ,C-CLASS,2018,8,WA
LEXUS,RZ 450E,2023,0,WA
BMW,530E,2020,18,WA
VOLVO,V60,2021,22,WA
MERCEDES-BENZ,EQE-CLASS SUV,2023,0,WA
FORD,ESCAPE,2023,37,WA
FORD,FUSION,2018,21,WA
BMW,I4,2022,0,WA
KIA,OPTIMA,2018,29,WA
KIA,OPTIMA,2017,29,WA
FORD,C-MAX,2015,19,WA
MINI,HARDTOP,2023,0,WA
VOLVO,XC60,2020,19,WA
AUDI,A8 E,2020,17,WA
AUDI,E-TRON SPORTBACK,2021,218,WA
BMW,I3,2021,126,WA
FORD,FUSION,2020,26,WA
VOLVO,XC60,2024,35,WA
BMW,330E,2022,22,WA
TOYOTA,BZ4X,2023,0,WA
BMW,IX,2024,0,WA
HONDA,CLARITY,2021,47,WA
CHEVROLET,SPARK,2015,82,WA
LUCID,AIR,2022,0,WA
AUDI,E-TRON,2021,0,WA
PORSCHE,CAYENNE,2016,14,WA
HYUNDAI,IONIQ,2017,124,WA
BMW,530E,2019,16,WA
LINCOLN,AVIATOR,2022,21,WA
TESLA,MODEL S,2020,337,WA
VOLVO,XC90,2018,19,WA
AUDI,E-TRON,2023,0,WA
VOLVO,S60,2023,41,WA
HYUNDAI,SANTA FE,2023,30,WA
LEXUS,NX,2024,37,WA
VOLKSWAGEN,E-GOLF,2017,125,WA
SMART,FORTWO,2017,58,WA
MITSUBISHI,OUTLANDER,2020,22,WA
KIA,SOUL EV,2018,111,WA
FIAT,500,2018,84,WA
KIA,NIRO,2021,0,WA
PORSCHE,TAYCAN,2020,203,WA
HYUNDAI,SONATA,2016,27,WA
LINCOLN,AVIATOR,2020,21,WA
MERCEDES-BENZ,B-CLASS,2017,87,WA
VOLKSWAGEN,E-GOLF,2015,83,WA
AUDI,E-TRON,2022,0,WA
BMW,I3,2020,126,WA
HYUNDAI,IONIQ,2018,29,WA
KIA,NIRO,2020,26,WA
HONDA,CLARITY,2019,47,WA
VOLVO,V60,2020,22,WA
LEXUS,NX,2023,37,WA
PORSCHE,CAYENNE,2023,17,WA
LINCOLN,AVIATOR,2023,21,WA
CADILLAC,CT6,2018,31,WA
PORSCHE,PANAMERA,2015,15,WA
SMART,FORTWO ELECTRIC DRIVE,2015,68,WA
HYUNDAI,IONIQ,2021,29,WA
PORSCHE,TAYCAN,2020,192,WA
HYUNDAI,SONATA,2017,27,WA
FORD,TRANSIT,2023,0,WA
MERCEDES-BENZ,GLC-CLASS,2020,22,WA
VOLVO,C40,2022,0,WA
HYUNDAI,KONA ELECTRIC,2022,0,WA
PORSCHE,PANAMERA,2022,18,WA
MAZDA,CX-90,2024,26,WA
FORD,FOCUS,2016,76,WA
BMW,I3,2021,153,WA
HONDA,CLARITY,2020,47,WA
CHEVROLET,VOLT,2019,53,WA
BMW,330E,2017,14,WA
PORSCHE,PANAMERA,2018,16,WA
MERCEDES-BENZ,EQS-CLASS SEDAN,2023,0,WA
CHEVROLET,SPARK,2016,82,WA
TOYOTA,PRIUS,2023,39,WA
PORSCHE,CAYENNE,2020,14,WA
NISSAN,LEAF,2020,0,WA
PORSCHE,TAYCAN,2021,192,WA
CADILLAC,LYRIQ,2023,0,WA
VOLVO,S60,2019,22,WA
PORSCHE,PANAMERA,2018,14,WA
MINI,COUNTRYMAN,2018,12,WA
BMW,330E,2016,14,WA
HYUNDAI,KONA,2019,258,WA
BMW,530E,2019,15,WA
MERCEDES-BENZ,EQB-CLASS,2023,0,WA
SUBARU,CROSSTREK,2019,17,WA
VOLVO,S90,2018,21,WA
BMW,740E,2019,14,WA
VOLVO,S60,2020,22,WA
LINCOLN,CORSAIR,2021,28,WA
HYUNDAI,IONIQ,2020,170,WA
BMW,I8,2019,17,WA
SMART,EQ FORTWO,2019,58,WA
MERCEDES-BENZ,B-CLASS,2015,87,WA
LINCOLN,CORSAIR,2022,28,WA
PORSCHE,PANAMERA,2022,19,WA
MINI,HARDTOP,2024,0,WA
LAND ROVER,RANGE ROVER,2020,19,WA
HYUNDAI,IONIQ,2021,0,WA
FIAT,500,2019,84,WA
BMW,I8,2015,14,WA
BMW,530E,2021,18,WA
JAGUAR,I-PACE,2022,0,WA
AUDI,E-TRON GT,2023,0,WA
PORSCHE,PANAMERA,2016,15,WA
VOLVO,XC90,2024,32,WA
RIVIAN,EDV,2023,0,WA
BMW,330E,2021,22,WA
MERCEDES-BENZ,GLE-CLASS,2017,10,WA
LINCOLN,CORSAIR,2023,28,WA
AUDI,RS E-TRON GT,2023,0,WA
BMW,745E,2020,16,WA
MITSUBISHI,I-MIEV,2016,62,WA
VOLVO,S60,2022,22,WA
VOLKSWAGEN,E-GOLF,2018,125,WA
PORSCHE,CAYENNE,2015,14,WA
MINI,COUNTRYMAN,2022,17,WA
MERCEDES-BENZ,EQE-CLASS SEDAN,2023,0,WA
KIA,SOUL,2015,93,WA
PORSCHE,CAYENNE,2022,16,WA
BMW,I3,2016,81,WA
AUDI,Q8,2024,0,WA
BMW,530E,2022,18,WA
AUDI,E-TRON SPORTBACK,2021,0,WA
FORD,FOCUS,2017,100,WA
JAGUAR,I-PACE,2023,0,WA
BMW,330E,2023,22,WA
HYUNDAI,IONIQ,2019,124,WA
VOLVO,S90,2019,21,WA
VOLVO,V60,2022,41,WA
LAND ROVER,RANGE ROVER SPORT,2020,19,WA
VOLVO,S90,2020,21,WA
KIA,OPTIMA,2020,28,WA
PORSCHE,PANAMERA,2020,14,WA
LAND ROVER,RANGE ROVER SPORT,2023,19,WA
MITSUBISHI,OUTLANDER,2022,24,WA
POLESTAR,PS2,2024,0,WA
HONDA,CLARITY,2021,48,WA
PORSCHE,PANAMERA,2019,14,WA
AUDI,RS E-TRON GT,2022,0,WA
HYUNDAI,SONATA,2019,28,WA
MERCEDES-BENZ,S-CLASS,2015,14,WA
KIA,SOUL EV,2019,0,WA
LAND ROVER,RANGE ROVER,2021,19,WA
MERCEDES-BENZ,GLC-CLASS,2018,9,WA
BMW,I8,2019,18,WA
LAND ROVER,RANGE ROVER SPORT,2021,19,WA
MERCEDES-BENZ,S-CLASS,2017,12,WA
AUDI,E-TRON SPORTBACK,2020,218,WA
AUDI,Q5 E,2021,19,WA
MERCEDES-BENZ,C-CLASS,2017,8,WA
PORSCHE,CAYENNE,2022,15,WA
BMW,740E,2017,14,WA
VOLVO,V60,2023,41,WA
MINI,COUNTRYMAN,2020,17,WA
MERCEDES-BENZ,GLE-CLASS,2016,10,WA
PORSCHE,PANAMERA,2021,18,WA
BMW,I8,2016,14,WA
FORD,FOCUS,2018,100,WA
BMW,530E,2020,20,WA
GENESIS,GV70,2023,0,WA
ALFA ROMEO,TONALE,2024,33,WA
RIVIAN,EDV,2022,0,WA
CADILLAC,ELR,2016,36,WA
BMW,530E,2023,21,WA
PORSCHE,918,2015,12,WA
PORSCHE,PANAMERA,2023,18,WA
PORSCHE,CAYENNE,2022,14,WA
MERCEDES-BENZ,C-CLASS,2016,11,WA
VOLVO,V60,2024,41,WA
KIA,OPTIMA,2019,29,WA
MERCEDES-BENZ,S-CLASS,2016,14,WA
LAND ROVER,RANGE ROVER,2023,51,WA
SMART,FORTWO,2017,57,WA
PORSCHE,CAYENNE,2020,12,WA
KIA,NIRO,2022,26,CA
BENTLEY,FLYING SPUR,2022,21,WA
BMW,745LE,2022,16,WA
MITSUBISHI,OUTLANDER,2021,24,WA
AUDI,E-TRON,2023,0,IL
VOLVO,V60,2022,22,WA
CHRYSLER,PACIFICA,2018,33,NE
TESLA,MODEL Y,2021,0,CA
JAGUAR,I-PACE,2024,0,WA
TESLA,MODEL Y,2020,291,MO
FORD,FUSION,2015,19,CA
TESLA,MODEL 3,2018,215,IL
MITSUBISHI,I-MIEV,2017,59,WA
TOYOTA,PRIUS PRIME,2021,25,AZ
CHRYSLER,PACIFICA,2020,32,VA
AUDI,E-TRON,2023,0,CA
CHRYSLER,PACIFICA,2018,33,KY
TESLA,MODEL Y,2022,0,NC
TESLA,MODEL 3,2021,0,MD
TESLA,MODEL S,2023,0,DC
AUDI,E-TRON,2021,222,NE
TESLA,MODEL 3,2020,322,WY
FORD,FUSION,2016,19,CA
BMW,330E,2017,14,CA
CADILLAC,CT6,2017,31,WA
NISSAN,LEAF,2015,84,GA
HYUNDAI,IONIQ,2018,124,WA
